dataset,backbone,horizon,seed,method,status,mse,mae,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,prediction_path,output_dir,test_threshold_leakage,blocker_reason
ETTm1,DLinear,96,2026,raw_no_correction,completed,2.6894849797415343,1.2049875427726577,0.0,0.0,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/raw/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_raw_no_correction.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,HalluGuard-LRBN,completed,2.461409274029521,1.1684575896083083,-8.480274380782447,-3.0315627230713624,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/halluguard_lrbn/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_unified_revin_rdn_hybrid.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,RevIN,completed,2.4544805960147213,1.1666443766244883,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_RevIN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,DishTS,completed,2.3982235371067087,1.1569747706239195,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_DishTS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,SAN,completed,2.5413800225940237,1.1926841085157147,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_SAN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,NST,completed,2.4558755060300776,1.165958815599214,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_NST.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,TAFAS,completed,2.6871366950848845,1.2072130590121226,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_TAFAS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,matched_sparse_smoothing,completed,2.6847440280192973,1.2033951467136637,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_matched_sparse_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,naive_smoothing,completed,2.6847440280192973,1.2033951467136637,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_naive_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,ema_smoothing,completed,2.6794858688850383,1.2009650374894207,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_ema_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2026,median_smoothing,completed,2.6837461307848294,1.2031239302062986,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2026/ETTm1_DLinear_96_median_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2026,False,
ETTm1,DLinear,96,2027,raw_no_correction,completed,2.7492444837087135,1.2170619574072454,0.0,0.0,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/raw/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_raw_no_correction.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,HalluGuard-LRBN,completed,2.4478085364118685,1.1644278605360905,-10.964319436960727,-4.3246850787517355,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/halluguard_lrbn/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_unified_revin_rdn_hybrid.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,RevIN,completed,2.46729017803065,1.1687291258606018,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_RevIN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,DishTS,completed,2.4135727826665896,1.1588148014529123,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_DishTS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,SAN,completed,2.520522452998504,1.1861746456124693,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_SAN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,NST,completed,2.455812547013062,1.1652089574647613,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_NST.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,TAFAS,completed,2.8351100145345147,1.242636563591066,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_TAFAS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,matched_sparse_smoothing,completed,2.746006776949842,1.2156780999517822,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_matched_sparse_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,naive_smoothing,completed,2.746006776949842,1.2156780999517822,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_naive_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,ema_smoothing,completed,2.7319272937102395,1.2119582183428956,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_ema_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2027,median_smoothing,completed,2.7492423865695965,1.2167597636730958,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2027/ETTm1_DLinear_96_median_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2027,False,
ETTm1,DLinear,96,2028,raw_no_correction,completed,3.1545561556586477,1.3149865360834356,0.0,0.0,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/raw/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_raw_no_correction.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,HalluGuard-LRBN,completed,2.4504994228267227,1.164905621457209,-22.318725617516332,-11.413114165657428,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/halluguard_lrbn/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_unified_revin_rdn_hybrid.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,RevIN,completed,2.456163118735573,1.1671607691656296,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_RevIN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,DishTS,completed,2.3977771603079714,1.1568580862565392,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_DishTS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,SAN,completed,2.53214404947663,1.1899315221117703,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_SAN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,NST,completed,2.461338637524306,1.1684644106073294,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_NST.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,TAFAS,completed,2.9618655258847064,1.2677648256588705,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_TAFAS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,matched_sparse_smoothing,completed,3.1502986433842364,1.3138766706860352,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_matched_sparse_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,naive_smoothing,completed,3.1502986433842364,1.3138766706860352,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_naive_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,ema_smoothing,completed,3.1320700565457185,1.3082025189916995,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_ema_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,96,2028,median_smoothing,completed,3.1499289764929603,1.3137825996818033,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2028/ETTm1_DLinear_96_median_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ETTm1_DLinear_96_seed2028,False,
ETTm1,DLinear,192,2026,raw_no_correction,completed,4.149899105635641,1.5106159645190278,0.0,0.0,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/raw/ETTm1_DLinear_192_seed2026/ETTm1_DLinear_192_raw_no_correction.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ETTm1_DLinear_192_seed2026,False,
ETTm1,DLinear,192,2026,HalluGuard-LRBN,completed,3.646031869570716,1.4505575161010593,-12.14167436940006,-3.975758884362828,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/halluguard_lrbn/ETTm1_DLinear_192_seed2026/ETTm1_DLinear_192_unified_revin_rdn_hybrid.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ETTm1_DLinear_192_seed2026,False,
ETTm1,DLinear,192,2026,RevIN,completed,3.6618862340605567,1.4534185021366077,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_192_seed2026/ETTm1_DLinear_192_RevIN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_192_seed2026,False,
ETTm1,DLinear,192,2026,DishTS,completed,3.5928043206271414,1.4326532711304598,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_192_seed2026/ETTm1_DLinear_192_DishTS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_192_seed2026,False,
ETTm1,DLinear,192,2026,SAN,completed,3.7072835388099783,1.4579425860967536,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_192_seed2026/ETTm1_DLinear_192_SAN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ETTm1_DLinear_192_seed2026,False,
