method,completed_rows,total_rows,blocked_rows,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,median_mse_delta_pct_vs_raw,improved_configs,max_mse_harm_pct,best_mse_gain_pct,test_threshold_leakage
DishTS,420,420,0,17706.710582976266,39.29538882862968,-2.4162951013299225,0.32605374715834257,184,66.63577519231838,-74.68205372236612,False
HalluGuard-LRBN,420,420,0,17552.53411871291,38.93464356518122,-3.795174914253407,-0.285271515848112,237,12.811436045966696,-79.29595606956936,False
NST,420,420,0,17606.924336053173,38.99240963251192,-3.6155092765340577,-0.28630045961438566,232,18.311125432194174,-78.79321974521076,False
RevIN,420,420,0,17509.18116446388,38.91243392545363,-3.692118296153287,-0.3382679338799733,238,21.933587366189848,-78.75993112133851,False
SAN,420,420,0,19546.098928650757,42.37213240378076,22.588300232104384,2.923211760886543,158,645.3047368447418,-52.26111463093938,False
TAFAS,420,420,0,17253.520803245683,39.096596855772205,-0.02097338402023203,-0.23370260714122526,233,19.363954137379014,-16.285574324924333,False
ema_smoothing,420,420,0,20149.781372483194,42.89432072203754,17.890383186079017,0.7774962178682826,144,141.95790184868943,-2.569879545608192,False
matched_sparse_smoothing,420,420,0,17317.4880726061,39.1103506874012,0.5783678363733364,-0.04855313210013484,268,8.62172181071424,-2.0669625575173023,False
median_smoothing,420,420,0,17211.43556050472,38.972710085493404,-0.004099876661512349,-0.0809536353934319,288,3.041102244407773,-1.4850699155778806,False
naive_smoothing,420,420,0,17317.39350518793,39.10915998092729,0.5508556152458615,-0.09421066130290248,266,8.62172181071424,-2.0669625575173023,False
raw_no_correction,420,420,0,17174.001354782857,38.99721131185139,0.0,0.0,0,0.0,0.0,False
